policy,tau_pct,reprice_events,reprice_rate,real_dev_mean_pct,real_dev_min_pct,mean_abs_real_dev_pct,real_P_cv_pct,months_5pct_below,mean_occ,revpar_vs_obs_pct,revpar_cv_pct
P2 τ=1%,1.0,21.6,1.0,-7.905956392322326,-26.21112534891506,7.905956392322326,5.062969833126715,18.6,67.76903260785511,-10.087395250103778,59.061390627930436
P2 τ=2%,2.0,21.6,1.0,-7.905956392322326,-26.21112534891506,7.905956392322326,5.062969833126715,18.6,67.76903260785511,-10.087395250103778,59.061390627930436
P2 τ=3%,3.0,21.6,1.0,-7.905956392322326,-26.21112534891506,7.905956392322326,5.062969833126715,18.6,67.76903260785511,-10.087395250103778,59.061390627930436
P2 τ=4%,4.0,21.0,0.975,-7.996301979361957,-26.21112534891506,7.996301979361957,5.035048368477197,19.2,67.79033087597318,-10.099545954527779,59.08509586429926
P2 τ=5%,5.0,19.2,0.9,-8.32498187729051,-26.21112534891506,8.32498187729051,5.021543473979597,19.2,67.89876070547632,-10.191293787001452,59.21108594413342
P2 τ=6%,6.0,17.2,0.7999999999999999,-8.847652161255201,-26.21112534891506,8.847652161255201,5.068025286407099,19.2,68.09779551569034,-10.447808558177998,59.33563075118191
P2 τ=7%,7.000000000000001,14.8,0.7,-9.471988343491935,-26.21112534891506,9.471988343491935,5.1459146644847085,20.2,68.35415619785762,-10.673955344420609,59.57376956008827
P2 τ=8%,8.0,13.0,0.6083333333333334,-10.072821110972022,-26.21112534891506,10.072821110972022,5.60804256864173,19.6,68.57028151685702,-10.959248518846573,59.76502024970311
P2 τ=10%,10.0,12.0,0.5583333333333333,-10.486569424681157,-26.21112534891506,10.486569424681157,5.857853889908986,20.8,68.77877135277078,-11.333797492575995,59.13650334618901
P0 frozen,,1.0,0.049999999999999996,-50.67421833921995,-81.95204097756593,50.67421833921995,41.41847737183647,21.0,106.45134028360624,-43.71665184017719,37.38797955990253
P1 monthly CPI,,21.6,1.0,-16.59452891153635,-27.874249776871135,16.59452891153635,3.73772441513195,19.2,73.14773296575592,-15.13031995793356,58.95575963499973
observed,,21.4,0.9833333333333332,4.243874607803681,-21.229826701382898,15.716700488609154,15.340588766637543,7.4,63.485899866789055,0.0,69.10515249571691
