policy,beta,reprice_events,real_dev_mean_pct,real_dev_min_pct,mean_abs_real_dev_pct,real_P_cv_pct,months_5pct_below,mean_occ,revpar_vs_obs_pct,revpar_cv_pct
P0_frozen,0.0,1.0,-53.47998936019021,-70.18734983408024,53.47998936019021,27.44271958527858,26.0,57.58060771794233,-53.74977546471615,13.01739283102881
P1_monthly,0.0,25.0,-4.5149652772847935,-16.354260965391468,4.5149652772847935,3.87091501513968,6.2,57.58060771794233,1.9037828127791865,29.734020327911935
P2_tau6,0.0,13.8,-5.881797558646044,-16.354260965391468,5.881797558646044,3.699097918191461,14.2,57.58060771794233,0.5208034585111586,30.25367417779348
P3_tau6_d8,0.0,13.8,-7.878599503971246,-16.354260965391468,8.226759956323846,4.907362917768376,20.2,57.58060771794233,-1.5089241659959618,31.350440821419625
observed,0.0,25.2,-4.512751872961305,-23.89988250154115,11.214497226288096,13.246552175174036,14.8,57.58060771794233,0.0,28.328475451931666
P0_frozen,-0.25,1.0,-53.47998936019021,-70.18734983408024,53.47998936019021,27.44271958527858,26.0,69.5103212118706,-44.151522045155346,15.329236016049105
P1_monthly,-0.25,25.0,-4.5149652772847935,-16.354260965391468,4.5149652772847935,3.87091501513968,6.2,57.54921494610035,1.2316769568880392,29.022873576514467
P2_tau6,-0.25,13.8,-5.881797558646044,-16.354260965391468,5.881797558646044,3.699097918191461,14.2,57.74494127209914,0.20001854906095184,29.379768218271057
P3_tau6_d8,-0.25,13.8,-7.878599503971246,-16.354260965391468,8.226759956323846,4.907362917768376,20.2,58.0631085251169,-1.3480925015022005,30.063887881898978
observed,-0.25,25.2,-4.512751872961305,-23.89988250154115,11.214497226288096,13.246552175174036,14.8,57.58060771794233,0.0,28.328475451931666
P0_frozen,-0.5,1.0,-53.47998936019021,-70.18734983408024,53.47998936019021,27.44271958527858,26.0,84.13847444643277,-32.374446954500286,18.966981269795365
P1_monthly,-0.5,25.0,-4.5149652772847935,-16.354260965391468,4.5149652772847935,3.87091501513968,6.2,57.61157841326484,0.6890066240530436,28.53137579668499
P2_tau6,-0.5,13.8,-5.881797558646044,-16.354260965391468,5.881797558646044,3.699097918191461,14.2,58.00051901181664,0.0047502566042645356,28.748816049179773
P3_tau6_d8,-0.5,13.8,-7.878599503971246,-16.354260965391468,8.226759956323846,4.907362917768376,20.2,58.644381374620195,-1.0438480727703037,29.1100463304612
observed,-0.5,25.2,-4.512751872961305,-23.89988250154115,11.214497226288096,13.246552175174036,14.8,57.58060771794233,0.0,28.328475451931666
P0_frozen,-1.0,1.0,-53.47998936019021,-70.18734983408024,53.47998936019021,27.44271958527858,26.0,124.30233292895912,4.440892098500626e-15,28.328475451931666
P1_monthly,-1.0,25.0,-4.5149652772847935,-16.354260965391468,4.5149652772847935,3.87091501513968,6.2,58.035119794473246,0.0,28.32847545193166
P2_tau6,-1.0,13.8,-5.881797558646044,-16.354260965391468,5.881797558646044,3.699097918191461,14.2,58.80376008334592,2.220446049250313e-15,28.32847545193166
P3_tau6_d8,-1.0,13.8,-7.878599503971246,-16.354260965391468,8.226759956323846,4.907362917768376,20.2,60.11984042200021,4.440892098500626e-15,28.328475451931666
observed,-1.0,25.2,-4.512751872961305,-23.89988250154115,11.214497226288096,13.246552175174036,14.8,57.58060771794233,0.0,28.328475451931666
