hotel_category,label,beta,policy,mean_nominal_P,mean_real_P,sd_real_P,mean_occ,total_revpar,revpar_vs_baseline_pct,down_months
stars_1_2,1-2 star,-0.3,A_cpi,33248.319866181104,525.353100832646,24.722932868621754,51.25171885733958,572733.9201505862,-9.606464553665184,10
stars_1_2,1-2 star,-0.3,C_partial,17759.173606121498,327.5524921805236,97.72815428047437,59.230901512030925,393095.57537950703,-37.95845229924176,11
stars_1_2,1-2 star,-0.3,D_dynamic,39838.29457771305,631.391140434437,97.34578763510908,48.561373255654885,689078.6802686062,8.756013776513738,9
stars_1_2,1-2 star,-0.3,baseline_obs,34368.71136262475,571.5230571074211,67.29492073825135,49.40718808931657,633600.5305275498,0.0,9
stars_3,3 star,-0.3,A_cpi,53352.887045063275,843.0231891509204,39.67237592970629,61.69536346319966,1141078.356647652,4.443951167020743,11
stars_3,3 star,-0.3,C_partial,28497.776345830716,525.6166683602027,156.82233560776785,71.34924109206739,772991.3452161747,-29.247391432894077,13
stars_3,3 star,-0.3,D_dynamic,69080.32387420218,1079.8603018036042,146.91555261789443,57.12639772810827,1439151.573195793,31.726866745940875,10
stars_3,3 star,-0.3,baseline_obs,45555.432625157846,807.6916633689051,150.7580566811683,62.20837339983273,1092526.9906946602,0.0,13
stars_4,4 star,-0.26,A_cpi,68268.55043507447,1078.7039707500176,50.76343094140009,65.86857154216656,1590235.0301493735,-11.828314533694472,9
stars_4,4 star,-0.26,C_partial,36464.791120105525,672.5613180624412,200.66455857847907,74.93589658038739,1047687.1677157031,-41.91025749807788,13
stars_4,4 star,-0.26,D_dynamic,92953.82782343768,1435.8922103707644,198.48827049104142,61.094424896090445,2101245.991658717,16.505043060499602,15
stars_4,4 star,-0.26,baseline_obs,73790.42959801397,1253.1031682536893,166.98320005414558,63.05577584272685,1803566.5551126113,0.0,13
stars_5,5 star,-0.1,A_cpi,181377.65335442143,2865.928654290186,134.86959839768178,64.60295017292525,4242407.838497817,-10.726061118838404,7
stars_5,5 star,-0.1,C_partial,96880.60170127547,1786.8783331372517,533.1307976280991,68.02227329176428,2523818.58865858,-46.890719843939976,12
stars_5,5 star,-0.1,D_dynamic,282419.12458975444,4206.78696629192,709.4211877708987,62.27129301796329,6636390.852691099,39.651059947227175,14
stars_5,5 star,-0.1,baseline_obs,190162.29114617576,3200.008540320325,651.9455705317617,64.32231078144576,4752123.51069797,0.0,17
apart,Apart-hotel,-0.6,A_cpi,70588.69611143108,1115.3643412698893,52.488655134166954,63.09765611836649,1510933.167877753,-7.578569002788504,10
apart,Apart-hotel,-0.6,C_partial,37704.06787224664,695.4186985728319,207.48425820615222,85.06554037047957,1246685.3732411093,-23.742195453903538,12
apart,Apart-hotel,-0.6,D_dynamic,97050.59699689967,1485.8902715447362,188.89656849313306,53.4490860370953,1816440.4257140043,11.108834616075525,13
apart,Apart-hotel,-0.6,baseline_obs,72127.92837019148,1251.593987173878,191.01986030894628,58.75610660180495,1634829.8782815214,0.0,12
boutique,Boutique,-0.1,A_cpi,142601.67328113754,2253.2335932671094,106.03638348260506,64.49481436759355,3264603.7750958,9.323707440322405,9
boutique,Boutique,-0.1,C_partial,76168.89763199995,1404.868987676592,419.1549643159013,67.80664065350514,1951400.0684764762,-34.652317744475106,13
boutique,Boutique,-0.1,D_dynamic,183237.7400318261,2817.1717213056722,316.0998252676546,63.124886210786755,4277663.9749888405,43.248650417297085,13
boutique,Boutique,-0.1,baseline_obs,119246.99896591407,2034.687049117373,272.5760756775529,65.33235327478954,2986180.995442257,0.0,12
