hotel_category,label,rule,beta,revpar_vs_obs_pct,real_P_vol_pct,n_price_changes,worst_erosion_pct
apart,Apart-hotel,baseline,-0.1,-12.14,15.26,37,-31.41
apart,Apart-hotel,A_full_cpi,-0.1,-5.25,5.31,36,-15.54
apart,Apart-hotel,C_partial,-0.1,4.21,28.0,37,-43.36
apart,Apart-hotel,R_infl_threshold,-0.1,-6.79,5.25,29,-15.29
apart,Apart-hotel,R_realprice_floor,-0.1,-6.61,5.3,32,-15.64
apart,Apart-hotel,D_infl_plus_occ,-0.1,-6.95,5.55,24,-14.79
apart,Apart-hotel,baseline,-0.5,-6.94,15.26,37,-31.41
apart,Apart-hotel,A_full_cpi,-0.5,-3.24,5.31,36,-15.54
apart,Apart-hotel,C_partial,-0.5,1.24,28.0,37,-43.36
apart,Apart-hotel,R_infl_threshold,-0.5,-4.12,5.25,29,-15.29
apart,Apart-hotel,R_realprice_floor,-0.5,-4.01,5.3,32,-15.64
apart,Apart-hotel,D_infl_plus_occ,-0.5,-4.21,5.55,24,-14.79
apart,Apart-hotel,baseline,-1.0,-0.0,15.26,37,-31.41
apart,Apart-hotel,A_full_cpi,-1.0,0.0,5.31,36,-15.54
apart,Apart-hotel,C_partial,-1.0,-0.0,28.0,37,-43.36
apart,Apart-hotel,R_infl_threshold,-1.0,-0.0,5.25,29,-15.29
apart,Apart-hotel,R_realprice_floor,-1.0,-0.0,5.3,32,-15.64
apart,Apart-hotel,D_infl_plus_occ,-1.0,0.0,5.55,24,-14.79
boutique,Boutique,baseline,-0.1,3.58,13.4,37,-19.12
boutique,Boutique,A_full_cpi,-0.1,7.79,5.65,36,-15.63
boutique,Boutique,C_partial,-0.1,20.32,28.0,37,-43.36
boutique,Boutique,R_infl_threshold,-0.1,7.78,5.76,29,-15.46
boutique,Boutique,R_realprice_floor,-0.1,7.89,5.8,32,-15.89
boutique,Boutique,D_infl_plus_occ,-0.1,7.6,5.91,24,-14.75
boutique,Boutique,baseline,-0.5,1.98,13.4,37,-19.12
boutique,Boutique,A_full_cpi,-0.5,3.99,5.65,36,-15.63
boutique,Boutique,C_partial,-0.5,9.76,28.0,37,-43.36
boutique,Boutique,R_infl_threshold,-0.5,4.0,5.76,29,-15.46
boutique,Boutique,R_realprice_floor,-0.5,4.06,5.8,32,-15.89
boutique,Boutique,D_infl_plus_occ,-0.5,3.91,5.91,24,-14.75
boutique,Boutique,baseline,-1.0,0.0,13.4,37,-19.12
boutique,Boutique,A_full_cpi,-1.0,0.0,5.65,36,-15.63
boutique,Boutique,C_partial,-1.0,-0.0,28.0,37,-43.36
boutique,Boutique,R_infl_threshold,-1.0,0.0,5.76,29,-15.46
boutique,Boutique,R_realprice_floor,-1.0,0.0,5.8,32,-15.89
boutique,Boutique,D_infl_plus_occ,-1.0,0.0,5.91,24,-14.75
